no,post_url,akun,comment
6783,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6784,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6785,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6786,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Rinzzs_jihan 🤗,kirain ak kambing 😂😂
6787,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6788,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6789,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6790,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
6791,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6792,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6793,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6794,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6795,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6796,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6797,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6798,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6799,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6800,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6801,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Diyaz,"komentar nyuruh"""
6802,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6803,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6804,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6805,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Rinzzs_jihan 🤗,kirain ak kambing 😂😂
6806,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6807,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6808,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6809,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
6810,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6811,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6812,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6813,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6814,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6815,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6816,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6817,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6818,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6819,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6820,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6821,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,@Saudah08,"semangat yah Tim Pandawara semoga kebaikan kalian dapet berkah dari Allah dan selalu dalam lindungannya,, kasian bgt kk yg muntah semoga ttp kuat ☺️☺️"
6822,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6823,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6824,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Rinzzs_jihan 🤗,kirain ak kambing 😂😂
6825,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6826,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6827,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6828,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
6829,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ALBY HANAN ARFANI,dia muntah darah
6830,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,lover_matchawww,kasian banget guguknya🥺💓
6831,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hanif bermuka -_-,gw kira jasad bayi coo
6832,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ratna,kalian pakai masker donk
6833,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Humaira putri ✨,Kaliannn hebattt
6834,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,tong.sotongg,Aku liatnya ikut mual mual disini😫
6835,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ran.wnsr,kok komen ny ada yg tega sm pandawa si?
6836,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zzl.ffaa1,gua lagi makan 😭
6837,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,May4-🌷,ITU APAA 😭
6838,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,sitiamelia5078,pandawara tidak butuh kata kata Pandawara hanya butuh bukti nyata kita untuk menjaga lingkungan
6839,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,ayulina17,yaAllah kasian🥺😭
6840,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,𖣂︎,takut pls
6841,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Aku idew,"takutnya yg kaya gini si pemilik dah bagus ngafanin, tapi nyuruh orang buat nguburinnya, yg disuruh gamau repot alhasil dibuang gitu aja😭😫"
6842,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,hahh??,kirain aku jasad bayi
6843,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,Rinzzs_jihan 🤗,kirain ak kambing 😂😂
6844,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,BLINKONCE,kalo ketemu jasad bayi gimna😭
6845,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,zungwonz,"Semangat Pandawaraa, terimakasih untuk semua kerja kerasnya. Maaf untuk orang-orang yang ngelunjak dan tidak bertanggungjawab"
6846,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,boys🤘🏻,bang semangat teruss ya....
6847,https://www.tiktok.com/@pandawaragroup/video/7520215015220055352,reni,mantap
